point_no,lat_lng,label,adj
1,"12.751617010495364, 80.20367432693531","SSN Main Entrance, Entrance",2
2,"12.752208238293772, 80.20361531835628","Front Parking,parking1","1,3"
3,"12.752134988912399, 80.2025585280352",Main Rd1,"2,4,5"
4,"12.752412290045065, 80.20264972313595","School of Advanced Career education, Career education",3
5,"12.752276218618697, 80.20042431820106",first right,3
6,"12.752236906621, 80.19999438536233",first_left,5
7,"12.751559865737509, 80.19988690213688",GHR1,"6,8,9"
8,"12.751321471418855, 80.19968454089522",basketball1,7
9,"12.750739995664135, 80.19989991422685",GHR2,"7,9"
10,"12.75072477376422, 80.19927252224987",GHR3,"9,11,12"
11,"12.750112852792107, 80.19926315819035","Gents Hostel - 5, GH5",10
12,"12.75073086252934, 80.1988979598165",pg_messlink,"10,13"
13,"12.751047477767543, 80.19891044522922",PG Mess,"12,14"
14,"12.751032255900947, 80.19823623290313",Open Air theatre Back,"12,14,23"
15,"12.752299048159097, 80.19821701587385",Research centre Road,"14,16,17"
16,"12.752458627054455, 80.19834039748723",Vama Sundari Park,"15,20"
17,"12.752288583975549, 80.19779188570172",parkleft1,"15,18,17"
18,"12.752288583967838, 80.19728763045981",parkleft2,"17,19,20"
19,"12.752259807437376, 80.19668413341711",parkleft3,"18,21,33"
20,"12.752539724483919, 80.19772751272455",parkcentre1,"15,17,20"
21,"12.752623437932467, 80.19707573594054",parkcentre2,"20,18,19,22"
22,"12.752762088269872, 80.19653124752752","Clock Tower, CT","21,33"
23,"12.751050082149861, 80.1970239333744",cseroad1,"14,24,27"
24,"12.75120353682671, 80.19703605597202",twin_dept_it_cse,"23,25,26"
25,"12.751226411094398, 80.19689403705775","Department of Information Technology,it dept, it",24
26,"12.751222598717085, 80.19711423152562","Department of Computer Science Engineering,cse dept, cse",24
27,"12.751027891193404, 80.19615329488826",library front,"23,28,29"
28,"12.751162816393933, 80.19619629147059",Library ,27
29,"12.751009658053142, 80.1957831503405",ecefront,29
30,"12.751613174314508, 80.19577567266604",Fountain,"29,31"
31,"12.752078117895827, 80.19577193384352",Fountainfront,"30,32"
32,"12.75224039211608, 80.19600561094302",Fountainfrontexitright,"31,33"
33,"12.752422722576574, 80.19551395432566",Fountainfrontexitleft,"31,32,19,22"
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
